v,b,m_5p
10.0,100000.0,8874014156233.13
10.0,107187.79370383405,9894315217316.596
10.0,114892.2311909571,11060491187439.197
10.0,123150.44775069517,12395433471235.994
10.0,132002.24788036308,13922767985280.002
10.0,141490.29714242753,15671738901580.979
10.0,151660.327811967,17673169923778.15
10.0,162561.35930565,19964965069210.082
10.0,174245.93445468854,22586941231246.58
10.0,186770.37276060946,25586319135831.055
10.0,200195.04185452432,29018228651276.02
10.0,214584.64846833175,32941928743664.414
10.0,230008.55032033296,37427718927271.76
10.0,246541.0904185383,42555439302581.8
10.0,264261.9553930058,48415603707714.86
10.0,283256.5595843736,55113725091432.67
10.0,303616.4567398761,62773785680581.37
10.0,325439.781301229,71522610830427.48
10.0,348831.72141137073,81527422250817.7
10.0,373905.0259199532,92963089159884.94
10.0,400780.54783134663,106038571180347.11
10.0,429587.8268145607,120987153148370.66
10.0,460465.7135827752,138074126584405.11
10.0,493563.0391519924,157627444945655.78
10.0,529039.3322046124,179990267927046.22
10.0,567065.5880156212,205571955531386.6
10.0,607825.0926476188,234855524885845.38
10.0,651514.3063872679,268370856090254.6
10.0,698343.81068135,306737997579872.25
10.0,748539.3231366203,350649357018524.5
10.0,802342.7854757563,400959572190364.6
10.0,860013.5296933495,458591268152242.0
10.0,921829.5280327708,524624577918660.06
10.0,988088.7328087935,600267356767845.2
10.0,1059110.5125339176,686971114765988.6
10.0,1135237.1912704774,786375334289624.9
10.0,1216835.6986281993,900315093984604.6
10.0,1304299.3383602048,1030937700942960.8
10.0,1398049.6840820087,1180777227513107.8
10.0,1498538.6112509272,1352546932417511.0
10.0,1606250.4751999467,1549652691850722.2
10.0,1721704.445724173,1775781995651330.2
10.0,1845457.0094725697,2035137468173697.5
10.0,1978104.6522064032,2332765553616237.0
10.0,2120286.7338529434,2674220819791083.5
10.0,2272688.570212054,3066173174101064.5
10.0,2436044.736169517,3515968065693725.0
10.0,2611142.6063384903,4032199321297683.5
10.0,2798826.1501950226,4624746055250111.0
10.0,3000000.0,5304966151141243.0
11.60962492108241,100000.0,9553791987343.537
11.60962492108241,107187.79370383405,10588965068348.102
11.60962492108241,114892.2311909571,11769335770409.627
11.60962492108241,123150.44775069517,13117367308272.816
11.60962492108241,132002.24788036308,14658477582842.5
11.60962492108241,141490.29714242753,16421214476965.887
11.60962492108241,151660.327811967,18439412095592.664
11.60962492108241,162561.35930565,20748761922833.445
11.60962492108241,174245.93445468854,23392001483077.99
11.60962492108241,186770.37276060946,26419453400147.043
11.60962492108241,200195.04185452432,29882370016025.953
11.60962492108241,214584.64846833175,33844818348543.957
11.60962492108241,230008.55032033296,38377972847130.85
11.60962492108241,246541.0904185383,43559904010295.234
11.60962492108241,264261.9553930058,49486008098952.45
11.60962492108241,283256.5595843736,56259428025988.44
11.60962492108241,303616.4567398761,64003123912915.93
11.60962492108241,325439.781301229,72853625991178.58
11.60962492108241,348831.72141137073,82969963385409.25
11.60962492108241,373905.0259199532,94528229443450.27
11.60962492108241,400780.54783134663,107745083222137.86
11.60962492108241,429587.8268145607,122851335730560.67
11.60962492108241,460465.7135827752,140122794209364.66
11.60962492108241,493563.0391519924,159867346162661.16
11.60962492108241,529039.3322046124,182445355695791.75
11.60962492108241,567065.5880156212,208270581542130.53
11.60962492108241,607825.0926476188,237804847465143.4
11.60962492108241,651514.3063872679,271603615524737.47
11.60962492108241,698343.81068135,310275902037703.2
11.60962492108241,748539.3231366203,354534255137103.06
11.60962492108241,802342.7854757563,405196808134977.44
11.60962492108241,860013.5296933495,463229168829928.25
11.60962492108241,921829.5280327708,529662252882108.25
11.60962492108241,988088.7328087935,605758901450831.8
11.60962492108241,1059110.5125339176,692944165136466.9
11.60962492108241,1135237.1912704774,792856034393922.4
